"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 29 15:24:46 GMT 2022","Wed Jun 29 15:24:58 GMT 2022","12093","testing","test_main","TestConduit","","","test_cookies",""
"passed","Wed Jun 29 15:26:00 GMT 2022","Wed Jun 29 15:26:14 GMT 2022","13838","testing","test_main","TestConduit","","","test_data_delete",""
"passed","Wed Jun 29 15:24:59 GMT 2022","Wed Jun 29 15:25:05 GMT 2022","5313","testing","test_main","TestConduit","","","test_data_list",""
"passed","Wed Jun 29 15:25:28 GMT 2022","Wed Jun 29 15:25:41 GMT 2022","13085","testing","test_main","TestConduit","","","test_data_repeat",""
"passed","Wed Jun 29 15:24:37 GMT 2022","Wed Jun 29 15:24:44 GMT 2022","6958","testing","test_main","TestConduit","","","test_signin_correct",""
"passed","Wed Jun 29 15:25:14 GMT 2022","Wed Jun 29 15:25:26 GMT 2022","11953","testing","test_main","TestConduit","","","test_post_make",""
"passed","Wed Jun 29 15:25:07 GMT 2022","Wed Jun 29 15:25:12 GMT 2022","5396","testing","test_main","TestConduit","","","test_multiple_pages",""
"passed","Wed Jun 29 15:26:24 GMT 2022","Wed Jun 29 15:26:29 GMT 2022","5375","testing","test_main","TestConduit","","","test_sign_out",""
"passed","Wed Jun 29 15:26:15 GMT 2022","Wed Jun 29 15:26:22 GMT 2022","6515","testing","test_main","TestConduit","","","test_data_save",""
"passed","Wed Jun 29 15:25:43 GMT 2022","Wed Jun 29 15:25:58 GMT 2022","15238","testing","test_main","TestConduit","","","test_data_modify",""
"passed","Wed Jun 29 15:24:34 GMT 2022","Wed Jun 29 15:24:35 GMT 2022","940","testing","test_main","TestConduit","","","test_registration_fail",""
