"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 29 15:22:56 GMT 2022","Wed Jun 29 15:23:08 GMT 2022","12097","testing","test_main","TestConduit","","","test_cookies",""
"passed","Wed Jun 29 15:23:11 GMT 2022","Wed Jun 29 15:23:16 GMT 2022","5335","testing","test_main","TestConduit","","","test_data_list",""
"passed","Wed Jun 29 15:24:11 GMT 2022","Wed Jun 29 15:24:25 GMT 2022","13875","testing","test_main","TestConduit","","","test_data_delete",""
"passed","Wed Jun 29 15:23:54 GMT 2022","Wed Jun 29 15:24:09 GMT 2022","15303","testing","test_main","TestConduit","","","test_data_modify",""
"passed","Wed Jun 29 15:23:39 GMT 2022","Wed Jun 29 15:23:52 GMT 2022","13114","testing","test_main","TestConduit","","","test_data_repeat",""
"passed","Wed Jun 29 15:22:45 GMT 2022","Wed Jun 29 15:22:46 GMT 2022","1124","testing","test_main","TestConduit","","","test_registration_fail",""
"passed","Wed Jun 29 15:24:35 GMT 2022","Wed Jun 29 15:24:40 GMT 2022","5382","testing","test_main","TestConduit","","","test_sign_out",""
"passed","Wed Jun 29 15:24:26 GMT 2022","Wed Jun 29 15:24:33 GMT 2022","6561","testing","test_main","TestConduit","","","test_data_save",""
"passed","Wed Jun 29 15:23:18 GMT 2022","Wed Jun 29 15:23:24 GMT 2022","5372","testing","test_main","TestConduit","","","test_multiple_pages",""
"passed","Wed Jun 29 15:23:25 GMT 2022","Wed Jun 29 15:23:37 GMT 2022","11943","testing","test_main","TestConduit","","","test_post_make",""
"passed","Wed Jun 29 15:22:48 GMT 2022","Wed Jun 29 15:22:54 GMT 2022","6947","testing","test_main","TestConduit","","","test_signin_correct",""
